"FishID","2014-02-10","2014-02-11","2014-02-12","2014-02-13","2014-02-14","2014-02-15","2014-02-16","2014-02-17","2014-02-18","2014-02-19","2014-02-20","2014-02-21","2014-02-22","2014-02-23","2014-02-24","2014-02-25","2014-02-26","2014-02-27","2014-02-28","2014-03-01","2014-03-02","2014-03-03","2014-03-04","2014-03-05","2014-03-06","2014-03-07","2014-03-08","2014-03-09","2014-03-10","2014-03-11","2014-03-12","2014-03-13","2014-03-14","2014-03-15","2014-03-16","2014-03-17","2014-03-18","2014-03-19","2014-03-20","2014-03-21","2014-03-22","2014-03-23","2014-03-24","2014-03-25","2014-03-26","2014-03-27","2014-03-28","2014-03-29","2014-03-30","2014-03-31","2014-04-01","2014-04-02","2014-04-03","2014-04-04","2014-04-05","2014-04-06","2014-04-07","2014-04-08","2014-04-09","2014-04-10","2014-04-11","2014-04-12","2014-04-13","2014-04-14","2014-04-15","2014-04-16","2014-04-17","2014-04-18","2014-04-19","2014-04-20","2014-04-21","2014-04-22","2014-04-23","2014-04-24","2014-04-25","2014-04-26","2014-04-27","2014-04-28","2014-04-29","2014-04-30","2014-05-01","2014-05-02","2014-05-03","2014-05-04","2014-05-05","2014-05-06","2014-05-07","2014-05-08","2014-05-09","2014-05-10","2014-05-11","2014-05-12","2014-05-13","2014-05-14","2014-05-15","2014-05-16","2014-05-17"
"WR2014-141",15777.56,79207.43,32029.51,7611.8825,7611.8825,7611.8825,7611.8825,8172.9875,8172.9875,8172.9875,8172.9875,6715.27625,6715.27625,6715.27625,6715.27625,6715.27625,6715.27625,6715.27625,6715.27625,38745.78,46095.2,96190.03,18596.55,8408.67,12613,23190.205,23190.205,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,1666.60352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-155",NA,30490.13,64494.86,3039.97,3039.97,3039.97,3039.97,3039.97,4207.415,4207.415,4207.415,4207.415,4349.64714285714,4349.64714285714,4349.64714285714,4349.64714285714,4349.64714285714,4349.64714285714,4349.64714285714,86414.15,38745.78,117382.54,22297.16,30603.63,15605.61,17489.565,17489.565,18888.1733333333,18888.1733333333,18888.1733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-176",15777.56,59709.67,34697.61,16829.66,15223.765,15223.765,16345.975,16345.975,23186.41,10178.6,10178.6,10178.6,22590.6066666667,22590.6066666667,22590.6066666667,34772.38,34772.38,18811.74,15078.02,9824.67,18596.55,16817.34,12613,11401.28,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-185",15777.56,59709.67,19497.76,15199.85,2103.7075,2103.7075,2103.7075,2103.7075,2103.7075,2103.7075,2103.7075,2103.7075,5074.58833333333,5074.58833333333,5074.58833333333,5074.58833333333,5074.58833333333,5074.58833333333,86414.15,54514.65,54514.65,43468.94,21757.61,7872.95,7872.95,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-186",15777.56,79207.43,32029.51,30447.53,55878.35,7633.95,7633.95,7633.95,7633.95,38745.78,14513.02,14513.02,36441.8,16551.48,16551.48,3762.348,3762.348,3762.348,3762.348,3762.348,24657.2,14270.49,14270.49,12613,8729.05,8689.84,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-193",15777.56,59709.67,34697.61,16829.66,7611.8825,7611.8825,7611.8825,7611.8825,5448.65833333333,5448.65833333333,5448.65833333333,5448.65833333333,5448.65833333333,5448.65833333333,15411.3316666667,15411.3316666667,15411.3316666667,15411.3316666667,15411.3316666667,15411.3316666667,29026.04,113013.7,27020.03,11761.68,12613,11401.28,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-194",15777.56,79207.43,32029.51,3805.94125,3805.94125,3805.94125,3805.94125,3805.94125,3805.94125,3805.94125,3805.94125,4670.27857142857,4670.27857142857,4670.27857142857,4670.27857142857,4670.27857142857,4670.27857142857,4670.27857142857,92467.99,29026.04,69544.76,35359.82,35359.82,12613,15460.1366666667,15460.1366666667,15460.1366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-197",NA,94984.99,23792.2475,23792.2475,23792.2475,23792.2475,3864.40166666667,3864.40166666667,3864.40166666667,3864.40166666667,3864.40166666667,3864.40166666667,7633.95,7633.95,7633.95,7633.95,38745.78,29026.04,34772.38,34772.38,53060.47,21773.12,840.866,840.866,840.866,840.866,840.866,4204.33,15460.1366666667,15460.1366666667,15460.1366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-213",15777.56,79207.43,32029.51,30447.53,6538.39,6538.39,6538.39,6538.39,6538.39,5796.6025,5796.6025,5796.6025,5796.6025,30535.8,19372.89,19372.89,49285.4,49285.4,21734.47,21734.47,26813.26,13573.675,13573.675,19310.385,19310.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-214",15777.56,94407.28,47277.19,32691.95,23186.41,15267.9,15267.9,34737.87,34737.87,34737.87,33102.96,16944.88,16944.88,9579.18,26102.23,11401.28,11659.71,11659.71,11659.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
