"","FishID","SD","rel","end"
"1","WR2014-010",25025.4208501817,"2014-02-10","2014-03-08"
"2","WR2014-030",25260.0351723529,"2014-02-10","2014-03-09"
"3","WR2014-042",22572.0541928847,"2014-02-10","2014-03-12"
"4","WR2014-052",25260.0986610331,"2014-02-10","2014-03-06"
"5","WR2014-058",17189.7519039331,"2014-02-10","2014-03-02"
"6","WR2014-066",11350.1571577956,"2014-02-10","2014-03-06"
"7","WR2014-075",17713.1203294586,"2014-02-10","2014-03-07"
"8","WR2014-085",25693.3269597942,"2014-02-10","2014-03-08"
"9","WR2014-105",21032.3201901003,"2014-02-10","2014-03-08"
"10","WR2014-109",22506.5060203262,"2014-02-10","2014-03-08"
"11","WR2014-155",24803.7655521511,"2014-02-10","2014-03-08"
"12","WR2014-176",12261.4700947179,"2014-02-10","2014-03-07"
"13","WR2014-185",21429.8309514837,"2014-02-10","2014-03-08"
"14","WR2014-186",16019.7471062658,"2014-02-10","2014-03-09"
"15","WR2014-193",20580.761839766,"2014-02-10","2014-03-09"
"16","WR2014-213",17902.3863871509,"2014-02-10","2014-03-06"
"17","WR2014-214",21019.9364748128,"2014-02-10","2014-02-27"
"18","WR2014-219",15718.6781420003,"2014-02-10","2014-03-10"
"19","WR2014-225",18527.8866062028,"2014-02-10","2014-03-06"
"20","WR2014-241",18872.801341385,"2014-02-10","2014-03-07"
"21","WR2014-253",23693.4134411734,"2014-02-10","2014-03-11"
"22","WR2014-263",23058.9936565349,"2014-02-10","2014-03-11"
"23","WR2014-271",14241.2133297351,"2014-02-10","2014-03-20"
"24","WR2014-273",20819.1521828791,"2014-02-10","2014-03-09"
"25","WR2014-274",20278.4915923597,"2014-02-10","2014-03-07"
"26","WR2014-277",20177.066428587,"2014-02-10","2014-03-10"
"27","WR2014-293",12797.8117208611,"2014-02-10","2014-03-18"
"28","WR2014-297",16962.0456408507,"2014-02-10","2014-03-11"
"29","WR2014-330",20284.1428193267,"2014-02-10","2014-03-12"
"30","WR2014-337",18208.6943441207,"2014-02-10","2014-03-15"
"31","WR2014-338",24568.6588343601,"2014-02-10","2014-03-08"
"32","WR2014-340",20097.3542078196,"2014-02-10","2014-03-11"
"33","WR2014-344",26004.2007330613,"2014-02-10","2014-03-09"
"34","WR2014-353",20209.6169805455,"2014-02-10","2014-03-08"
