"","FishID","SD","rel","end"
"1","LFC3171",13252.4511646991,"2009-12-15","2010-01-25"
"2","LFC3172",13871.0636991193,"2009-12-15","2010-02-01"
"3","LFC3174",23860.028980791,"2009-12-15","2009-12-25"
"4","LFC3178",24472.2937487479,"2009-12-15","2010-01-16"
"5","LFC3183",14820.1729301043,"2009-12-15","2010-01-22"
"6","LFC3190",14528.6316255325,"2009-12-15","2010-01-27"
"7","LFC3193",23137.1791864901,"2009-12-15","2010-01-12"
"8","LFC3207",19451.1679203045,"2009-12-15","2009-12-24"
"9","LFC3208",13857.4879261676,"2009-12-15","2010-01-06"
"10","LFC3215",10360.5511691342,"2009-12-15","2010-01-31"
"11","LFC3231",9452.22514799521,"2009-12-15","2010-01-24"
"12","LFC3232",22730.0104202752,"2009-12-15","2009-12-26"
"13","LFC3238",21604.8979772931,"2009-12-15","2009-12-26"
"14","LFC3249",11268.0251414019,"2009-12-15","2010-01-16"
"15","LFC3254",16219.1497745542,"2009-12-15","2010-01-03"
"16","LFC3269",28627.3201647357,"2009-12-15","2009-12-24"
"17","LFC3272",10464.2240555945,"2009-12-15","2010-02-09"
"18","LFC3275",20061.4935774157,"2009-12-15","2009-12-28"
"19","LFC3281",17356.1956894164,"2009-12-15","2010-01-13"
"20","LFC3295",22189.2974354951,"2009-12-15","2009-12-31"
"21","LFC3297",12973.0481089589,"2009-12-15","2010-01-29"
"22","LFC3321",10225.5459655536,"2009-12-15","2010-01-25"
"23","LFC3327",21363.8433197412,"2010-01-06","2010-01-26"
"24","LFC3330",15369.0939239006,"2010-01-06","2010-01-23"
"25","LFC3337",24993.0613155993,"2010-01-06","2010-01-30"
"26","LFC3339",21468.7664732569,"2010-01-06","2010-01-24"
"27","LFC3348",26611.0892894347,"2010-01-06","2010-01-23"
"28","LFC3356",14646.0629231059,"2010-01-06","2010-03-10"
"29","LFC3371",17760.4677691037,"2010-01-06","2010-01-23"
"30","LFC3375",20942.3613418612,"2010-01-06","2010-01-25"
"31","LFC3376",14793.0032559737,"2010-01-06","2010-01-27"
"32","LFC3386",10035.1709138342,"2010-01-06","2010-03-02"
"33","LFC3388",24318.304759233,"2010-01-06","2010-01-19"
"34","LFC3389",16167.3153463293,"2010-01-06","2010-01-23"
"35","LFC3390",12317.0908270873,"2010-01-06","2010-01-26"
"36","LFC3402",21312.4716003734,"2010-01-06","2010-01-21"
"37","LFC3403",12954.6184680377,"2010-01-06","2010-04-12"
"38","LFC3406",8860.19291671379,"2010-01-06","2010-01-27"
"39","LFC3407",15533.4970131616,"2010-01-06","2010-01-24"
"40","LFC3409",20226.2328120563,"2010-01-06","2010-02-03"
"41","LFC3431",13987.2678909818,"2010-01-06","2010-01-24"
"42","LFC3438",8661.29535918705,"2010-01-06","2010-01-26"
"43","LFC3440",11672.1653757923,"2010-01-06","2010-01-28"
"44","LFC3444",13967.5292141561,"2010-01-06","2010-03-05"
"45","LFC3457",7165.21752795083,"2010-01-06","2010-01-26"
"46","LFC3460",14003.8325116923,"2010-01-06","2010-01-22"
"47","LFC3465",13105.374060186,"2010-01-06","2010-01-23"
"48","LFC3467",21006.9939452893,"2010-01-06","2010-01-23"
