"","FishID","SD","rel","end"
"1","FR-Delta2015-194",6604.80269114784,"2015-04-07","2015-04-14"
"2","FR-Delta2015-268",7775.39814518732,"2015-04-07","2015-04-15"
"3","SB2015-115",9014.84168062529,"2015-04-14","2015-04-23"
"4","WR2015-006",25829.0497761837,"2015-02-04","2015-03-02"
"5","WR2015-011",30038.7373819816,"2015-02-04","2015-02-16"
"6","WR2015-014",29529.3807334687,"2015-02-04","2015-02-16"
"7","WR2015-034",32722.4697040381,"2015-02-04","2015-02-17"
"8","WR2015-035",31945.5867446837,"2015-02-04","2015-02-14"
"9","WR2015-043",30144.1136808784,"2015-02-04","2015-02-18"
"10","WR2015-053",25203.1705915503,"2015-02-04","2015-02-24"
"11","WR2015-064",24302.2450850461,"2015-02-04","2015-02-18"
"12","WR2015-065",19075.3080390237,"2015-02-04","2015-02-28"
"13","WR2015-072",31408.7387364992,"2015-02-04","2015-02-15"
"14","WR2015-078",33798.5279234598,"2015-02-04","2015-02-19"
"15","WR2015-084",16741.5164864724,"2015-02-04","2015-03-11"
"16","WR2015-105",24239.4740351121,"2015-02-04","2015-02-23"
"17","WR2015-116",21122.6813063249,"2015-02-04","2015-03-12"
"18","WR2015-128",30396.9734836148,"2015-02-04","2015-02-14"
"19","WR2015-138",17542.0510310483,"2015-02-04","2015-02-25"
"20","WR2015-160",35414.2070692302,"2015-02-04","2015-02-18"
"21","WR2015-164",30119.9075322545,"2015-02-04","2015-02-15"
"22","WR2015-166",36154.5833044335,"2015-02-04","2015-02-17"
"23","WR2015-176",20063.3444634437,"2015-02-04","2015-02-24"
"24","WR2015-177",23386.4951354436,"2015-02-04","2015-02-23"
"25","WR2015-189",19831.7685681201,"2015-02-04","2015-02-22"
"26","WR2015-197",14240.9798743917,"2015-02-04","2015-03-10"
"27","WR2015-217",22884.1704174759,"2015-02-04","2015-02-21"
"28","WR2015-240",35395.3027062187,"2015-02-04","2015-02-15"
"29","WR2015-247",22234.2829449005,"2015-02-04","2015-02-25"
"30","WR2015-253",37130.9726468071,"2015-02-06","2015-02-20"
"31","WR2015-254",49542.6739176673,"2015-02-06","2015-02-15"
"32","WR2015-255",19300.5788110562,"2015-02-06","2015-02-27"
"33","WR2015-270",24167.6328773193,"2015-02-06","2015-02-18"
"34","WR2015-275",22113.4276460181,"2015-02-06","2015-02-28"
"35","WR2015-281",28521.4520326874,"2015-02-06","2015-02-17"
"36","WR2015-283",30221.2692278112,"2015-02-06","2015-02-20"
"37","WR2015-287",24550.9274527796,"2015-02-06","2015-02-20"
"38","WR2015-289",40710.7336178719,"2015-02-06","2015-02-14"
"39","WR2015-292",13042.42490885,"2015-02-06","2015-03-10"
"40","WR2015-303",38183.9755050074,"2015-02-06","2015-02-18"
"41","WR2015-306",17417.6181918695,"2015-02-06","2015-02-28"
"42","WR2015-313",35672.8156139815,"2015-02-06","2015-02-16"
"43","WR2015-315",43750.3656792908,"2015-02-06","2015-02-19"
"44","WR2015-316",20414.9004004806,"2015-02-06","2015-02-28"
"45","WR2015-325",20001.776283868,"2015-02-06","2015-03-04"
"46","WR2015-327",38878.8260192128,"2015-02-06","2015-02-18"
"47","WR2015-335",8788.1569709008,"2015-02-06","2015-03-05"
"48","WR2015-336",33462.8966176369,"2015-02-06","2015-02-17"
"49","WR2015-341",12150.5886972556,"2015-02-06","2015-03-03"
"50","WR2015-344",19710.8425061558,"2015-02-06","2015-02-27"
"51","WR2015-345",43458.9494870224,"2015-02-06","2015-02-18"
"52","WR2015-349",40798.2303120798,"2015-02-06","2015-02-18"
"53","WR2015-356",33683.1941632695,"2015-02-06","2015-02-17"
"54","WR2015-357",18597.5282046557,"2015-02-06","2015-02-20"
"55","WR2015-362",46496.2565186495,"2015-02-06","2015-02-14"
"56","WR2015-375",49857.3254147925,"2015-02-06","2015-02-16"
"57","WR2015-378",14256.7943346285,"2015-02-06","2015-03-01"
"58","WR2015-380",47680.5881294497,"2015-02-06","2015-02-18"
"59","WR2015-382",25968.1547100607,"2015-02-06","2015-02-17"
"60","WR2015-383",34777.6018376795,"2015-02-06","2015-02-26"
"61","WR2015-386",18486.8526018595,"2015-02-06","2015-03-02"
