"","FishID","SD","rel","end"
"1","ARF2016-009",10668.9376942569,"2016-05-14","2016-05-19"
"2","ARF2016-076",12701.7942611109,"2016-05-14","2016-05-19"
"3","ARF2016-106",8576.56297864276,"2016-05-14","2016-05-19"
"4","ARF2016-114",8771.49472361401,"2016-05-14","2016-05-17"
"5","ARF2016-173",9739.44324892657,"2016-05-14","2016-05-19"
"6","CFR2016-007",18070.8627938208,"2016-04-07","2016-04-17"
"7","CFR2016-026",18967.8411746342,"2016-04-07","2016-04-22"
"8","CFR2016-027",21435.8858670433,"2016-04-07","2016-04-19"
"9","CFR2016-036",20441.9877417604,"2016-04-07","2016-04-18"
"10","CFR2016-055",25895.6681491115,"2016-04-07","2016-04-15"
"11","CFR2016-056",19361.1856207224,"2016-04-07","2016-04-19"
"12","CFR2016-090",17624.3084814449,"2016-04-07","2016-04-21"
"13","CFR2016-110",20464.8311385618,"2016-04-07","2016-04-19"
"14","CFR2016-174",23439.2686887127,"2016-04-07","2016-04-17"
"15","CFR2016-199",25537.902390803,"2016-04-07","2016-04-19"
"16","CFR2016-215",27353.7919137505,"2016-04-12","2016-04-21"
"17","CFR2016-232",26469.9773723174,"2016-04-12","2016-04-23"
"18","CFR2016-242",20997.940962038,"2016-04-12","2016-04-19"
"19","CFR2016-244",21641.8094536654,"2016-04-12","2016-04-22"
"20","CFR2016-302",18625.3397851863,"2016-04-12","2016-04-22"
"21","SB2016-010",19093.8395008036,"2016-04-14","2016-04-20"
"22","SB2016-045",20341.4992500873,"2016-04-15","2016-04-21"
"23","SB2016-048",17989.2782817117,"2016-04-15","2016-04-22"
"24","SB2016-055",17832.1691278699,"2016-04-15","2016-04-21"
"25","SB2016-059",12709.8672984538,"2016-04-15","2016-05-01"
"26","SB2016-061",17343.131380325,"2016-04-15","2016-04-21"
"27","SB2016-063",11422.5463444663,"2016-04-15","2016-04-25"
"28","SB2016-138",17999.2148296298,"2016-04-16","2016-04-23"
"29","SB2016-196",14412.3545328005,"2016-04-18","2016-04-25"
"30","WR2016-002",16671.6136825979,"2016-02-17","2016-03-02"
"31","WR2016-007",20707.5075710703,"2016-02-17","2016-03-08"
"32","WR2016-015",20188.8277098166,"2016-02-17","2016-03-11"
"33","WR2016-021",18913.3532917308,"2016-02-17","2016-03-22"
"34","WR2016-033",21662.858225834,"2016-02-17","2016-03-08"
"35","WR2016-041",23815.7976248573,"2016-02-17","2016-03-01"
"36","WR2016-051",17199.459292321,"2016-02-17","2016-03-13"
"37","WR2016-055",22671.4122088104,"2016-02-17","2016-03-15"
"38","WR2016-059",18530.9776952945,"2016-02-17","2016-03-08"
"39","WR2016-080",18930.0621657792,"2016-02-17","2016-03-02"
"40","WR2016-083",15758.4143991804,"2016-02-17","2016-03-11"
"41","WR2016-086",24016.8091082183,"2016-02-17","2016-03-11"
"42","WR2016-092",17829.0529943189,"2016-02-17","2016-03-12"
"43","WR2016-095",17829.244595893,"2016-02-17","2016-03-17"
"44","WR2016-098",23647.5042266877,"2016-02-17","2016-03-23"
"45","WR2016-100",14179.5079876923,"2016-02-17","2016-03-10"
"46","WR2016-103",23635.3079965841,"2016-02-17","2016-03-01"
"47","WR2016-116",21946.2087754731,"2016-02-17","2016-03-16"
"48","WR2016-119",17603.6647646151,"2016-02-17","2016-03-02"
"49","WR2016-122",20886.1622366437,"2016-02-17","2016-03-02"
"50","WR2016-126",21710.8953359543,"2016-02-17","2016-03-11"
"51","WR2016-131",21124.7945481196,"2016-02-17","2016-03-01"
"52","WR2016-134",22008.8021862045,"2016-02-17","2016-03-12"
"53","WR2016-136",26583.8583752982,"2016-02-17","2016-03-01"
"54","WR2016-139",26623.8594930584,"2016-02-17","2016-03-16"
"55","WR2016-157",16467.283106246,"2016-02-17","2016-03-09"
"56","WR2016-166",23646.6344933869,"2016-02-17","2016-03-08"
"57","WR2016-173",22551.5845456528,"2016-02-17","2016-03-02"
"58","WR2016-175",21874.2247871601,"2016-02-17","2016-03-08"
"59","WR2016-183",28209.7553247203,"2016-02-17","2016-02-29"
"60","WR2016-185",19177.8841223387,"2016-02-17","2016-03-09"
"61","WR2016-186",19803.126728607,"2016-02-17","2016-03-08"
"62","WR2016-191",23630.7686642185,"2016-02-17","2016-03-02"
"63","WR2016-194",29161.03044154,"2016-02-17","2016-02-28"
"64","WR2016-205",16656.6825501057,"2016-02-17","2016-03-07"
"65","WR2016-212",21653.9176661629,"2016-02-17","2016-02-29"
"66","WR2016-214",21452.4641402171,"2016-02-17","2016-02-29"
"67","WR2016-222",20714.1688717884,"2016-02-17","2016-03-03"
"68","WR2016-225",29520.7185796299,"2016-02-17","2016-03-09"
"69","WR2016-233",20755.6287055014,"2016-02-17","2016-03-03"
"70","WR2016-234",22777.2456001639,"2016-02-17","2016-03-16"
"71","WR2016-239",25149.6235423145,"2016-02-17","2016-02-29"
"72","WR2016-244",16437.6113704673,"2016-02-17","2016-02-29"
"73","WR2016-249",25484.5488939831,"2016-02-17","2016-03-01"
"74","WR2016-252",22291.2794392964,"2016-02-17","2016-03-08"
"75","WR2016-258",20541.3146376889,"2016-02-17","2016-03-09"
"76","WR2016-261",20501.7262212499,"2016-02-17","2016-03-01"
"77","WR2016-267",15905.7600584116,"2016-02-17","2016-03-02"
"78","WR2016-271",23127.2149918197,"2016-02-17","2016-03-02"
"79","WR2016-275",17957.6637107198,"2016-02-17","2016-03-02"
"80","WR2016-277",16633.0008983054,"2016-02-17","2016-03-10"
"81","WR2016-288",17699.4481344133,"2016-02-18","2016-03-02"
"82","WR2016-294",19092.8298509562,"2016-02-18","2016-03-10"
"83","WR2016-297",12700.2671031484,"2016-02-18","2016-03-08"
"84","WR2016-301",23622.5206756633,"2016-02-18","2016-03-02"
"85","WR2016-304",24195.2202477627,"2016-02-18","2016-03-08"
"86","WR2016-305",26206.6880726987,"2016-02-18","2016-03-01"
"87","WR2016-306",14046.2023523357,"2016-02-18","2016-03-21"
"88","WR2016-310",14694.1318307805,"2016-02-18","2016-03-08"
"89","WR2016-315",20368.8809545305,"2016-02-18","2016-03-03"
"90","WR2016-322",17021.158066024,"2016-02-18","2016-03-02"
"91","WR2016-324",21429.8244831037,"2016-02-18","2016-03-23"
"92","WR2016-325",21029.3704653009,"2016-02-18","2016-03-03"
"93","WR2016-330",20449.3374680057,"2016-02-18","2016-03-13"
"94","WR2016-332",17470.3179908215,"2016-02-18","2016-03-10"
"95","WR2016-334",19529.6686680819,"2016-02-18","2016-03-08"
"96","WR2016-336",24995.8190357182,"2016-02-18","2016-02-29"
"97","WR2016-337",14756.0047393421,"2016-02-18","2016-03-14"
"98","WR2016-339",19439.7018521331,"2016-02-18","2016-03-14"
"99","WR2016-343",20177.7850132556,"2016-02-18","2016-03-03"
"100","WR2016-346",19949.5419943159,"2016-02-18","2016-03-10"
"101","WR2016-356",9777.31206345818,"2016-02-18","2016-03-08"
"102","WR2016-357",19657.2193456792,"2016-02-18","2016-02-29"
"103","WR2016-366",22987.3315343775,"2016-02-18","2016-03-01"
"104","WR2016-373",18376.7632587331,"2016-02-18","2016-03-20"
"105","WR2016-374",13778.2093104943,"2016-02-18","2016-03-02"
"106","WR2016-383",25265.3576638291,"2016-02-18","2016-03-23"
"107","WR2016-399",25741.8341225173,"2016-02-18","2016-03-10"
"108","WR2016-403",15504.0801937073,"2016-02-18","2016-03-01"
"109","WR2016-405",20657.1170414282,"2016-02-18","2016-03-02"
"110","WR2016-407",11086.3896166638,"2016-02-18","2016-03-02"
"111","WR2016-409",17264.4254133938,"2016-02-18","2016-03-01"
"112","WR2016-412",13792.2890546312,"2016-02-18","2016-03-03"
"113","WR2016-419",13847.42782444,"2016-02-18","2016-03-04"
"114","WR2016-426",24423.8676606904,"2016-02-18","2016-03-04"
"115","WR2016-433",24865.4364064809,"2016-02-18","2016-02-29"
"116","WR2016-438",21933.0757153028,"2016-02-18","2016-03-02"
"117","WR2016-440",22332.5378724361,"2016-02-18","2016-03-02"
"118","WR2016-444",19137.0203904623,"2016-02-18","2016-03-28"
"119","WR2016-449",18246.821343964,"2016-02-18","2016-03-06"
"120","WR2016-451",14511.4922494807,"2016-02-18","2016-03-03"
"121","WR2016-457",25489.0457386467,"2016-02-18","2016-03-09"
"122","WR2016-459",16824.8242488272,"2016-02-18","2016-03-04"
"123","WR2016-473",20447.6393868743,"2016-02-18","2016-03-02"
"124","WR2016-474",13181.2784672239,"2016-02-18","2016-03-03"
"125","WR2016-475",26592.2835199425,"2016-02-18","2016-02-29"
"126","WR2016-480",23200.8707888907,"2016-02-18","2016-03-12"
"127","WR2016-485",22521.1116178886,"2016-02-18","2016-03-02"
"128","WR2016-490",26479.449199665,"2016-02-18","2016-03-04"
"129","WR2016-491",16702.4922282258,"2016-02-18","2016-03-14"
"130","WR2016-497",17254.5582336424,"2016-02-18","2016-03-16"
"131","WR2016-506",17848.7345815901,"2016-02-18","2016-03-16"
"132","WR2016-508",15629.2247174463,"2016-02-18","2016-03-05"
"133","WR2016-510",13748.8694179357,"2016-02-18","2016-03-12"
"134","WR2016-516",18689.6437173438,"2016-02-18","2016-03-15"
"135","WR2016-517",17673.0196460561,"2016-02-18","2016-03-12"
"136","WR2016-524",21490.522341851,"2016-02-18","2016-03-02"
"137","WR2016-530",19732.6872830354,"2016-02-18","2016-03-16"
"138","WR2016-543",26413.5155752563,"2016-02-18","2016-03-13"
"139","WR2016-544",15043.277109383,"2016-02-18","2016-03-02"
"140","WR2016-546",17292.0011918529,"2016-02-18","2016-03-01"
"141","WR2016-550",16452.9621379371,"2016-02-18","2016-03-26"
"142","WR2016-552",25798.6753656823,"2016-02-18","2016-03-13"
"143","WR2016-559",14966.0525744165,"2016-02-18","2016-03-08"
"144","WR2016-560",24180.8351291913,"2016-02-18","2016-03-12"
"145","WR2016-566",21783.8287998988,"2016-02-18","2016-03-01"
