"","FishID","SD","rel","end"
"1","CFC2013-023",12127.7928245138,"2013-04-10","2013-04-23"
"2","CFC2013-030",24647.2037033048,"2013-04-10","2013-04-23"
"3","CFC2013-044",23413.1821076999,"2013-04-10","2013-04-21"
"4","CFC2013-111",17917.9925349316,"2013-04-10","2013-04-24"
"5","CFC2013-162",27280.6632575242,"2013-04-24","2013-05-06"
"6","CFC2013-163",16086.4857022795,"2013-04-24","2013-05-06"
"7","CFC2013-177",16289.0432228979,"2013-04-24","2013-05-08"
"8","CFC2013-179",26650.0446652707,"2013-04-24","2013-05-06"
"9","CFC2013-193",20861.3830017058,"2013-04-24","2013-05-12"
"10","CFC2013-208",18041.1570045301,"2013-04-24","2013-05-07"
"11","CFC2013-216",18151.375995415,"2013-04-24","2013-05-07"
"12","CFC2013-251",19051.7970675949,"2013-04-24","2013-05-09"
"13","Delta2013-004",9189.4745813571,"2013-04-15","2013-04-25"
"14","Delta2013-012",5998.36727930544,"2013-04-15","2013-04-24"
"15","Delta2013-013",5226.87301708853,"2013-04-15","2013-04-25"
"16","Delta2013-016",8755.19249861059,"2013-04-15","2013-04-25"
"17","Delta2013-021",8501.60986252598,"2013-04-15","2013-04-26"
"18","Delta2013-027",5856.10061936312,"2013-04-15","2013-04-29"
"19","Delta2013-033",6443.66741402479,"2013-04-15","2013-04-22"
"20","Delta2013-034",8153.69719669837,"2013-04-15","2013-04-25"
"21","Delta2013-043",9760.2956252273,"2013-04-16","2013-04-29"
"22","Delta2013-047",10226.2127678225,"2013-04-16","2013-04-22"
"23","Delta2013-069",7481.47212910653,"2013-04-16","2013-04-21"
"24","Delta2013-071",6623.68493978629,"2013-04-16","2013-04-30"
"25","Delta2013-075",10599.2891325382,"2013-04-16","2013-04-27"
"26","Delta2013-084",7401.07897412706,"2013-04-16","2013-04-23"
"27","Delta2013-088",9222.83309656295,"2013-04-16","2013-04-24"
"28","Delta2013-104",8769.95132403316,"2013-04-16","2013-04-21"
"29","Delta2013-106",6660.28439418268,"2013-04-16","2013-04-22"
"30","Delta2013-114",5770.86450550104,"2013-04-16","2013-04-20"
"31","Delta2013-115",9666.47325284232,"2013-04-16","2013-04-25"
"32","Delta2013-117",8228.96118182951,"2013-04-16","2013-04-23"
"33","Delta2013-136",8758.58151607908,"2013-04-16","2013-04-25"
"34","Delta2013-144",3005.89231522908,"2013-04-16","2013-04-26"
"35","FR-Delta2013-013",8134.7372067665,"2013-04-22","2013-04-30"
"36","FR-Delta2013-024",15115.3291870987,"2013-04-23","2013-04-30"
"37","FR-Delta2013-028",5198.85959660203,"2013-04-23","2013-05-04"
"38","FR-Delta2013-038",7656.61011057461,"2013-04-23","2013-04-29"
"39","FR-Delta2013-047",9102.57691100599,"2013-04-22","2013-05-03"
"40","FR-Delta2013-055",7399.9473652849,"2013-04-23","2013-04-30"
"41","FR-Delta2013-058",9119.33008405771,"2013-04-22","2013-05-08"
"42","FR-Delta2013-069",7568.0860171744,"2013-04-23","2013-04-30"
"43","FR-Delta2013-076",9614.58213764755,"2013-04-22","2013-04-29"
"44","FR-Delta2013-083",8725.00538890559,"2013-04-22","2013-05-01"
"45","FR-Delta2013-101",10428.4532163128,"2013-04-23","2013-04-30"
"46","FR-Delta2013-112",8420.81452034536,"2013-04-23","2013-04-29"
"47","FR-Delta2013-116",6316.59892284516,"2013-04-23","2013-04-28"
"48","FR-Delta2013-117",8834.73267556595,"2013-04-22","2013-04-29"
"49","FR-Delta2013-119",10391.0218969536,"2013-04-23","2013-05-01"
"50","FR-Delta2013-132",8292.38999558996,"2013-04-23","2013-04-29"
"51","FR-Delta2013-133",10051.4341011462,"2013-04-22","2013-04-28"
"52","FR2013-022",6973.09181965155,"2013-04-17","2013-05-02"
"53","FR2013-116",12065.1781533618,"2013-04-17","2013-04-27"
"54","FR2013-155",11534.8422043059,"2013-04-18","2013-04-28"
"55","FR2013-156",9304.80650896511,"2013-04-18","2013-05-02"
"56","FR2013-172",6302.08456349488,"2013-04-18","2013-04-28"
"57","FR2013-175",9558.69061032672,"2013-04-18","2013-04-29"
"58","FR2013-193",12203.109201681,"2013-04-18","2013-05-06"
"59","FR2013-197",18691.5469908841,"2013-04-18","2013-04-27"
"60","FR2013-217",10959.6809346971,"2013-04-18","2013-04-25"
"61","FR2013-261",9190.23280904,"2013-04-18","2013-04-30"
"62","FR2013-279",8864.79568238266,"2013-04-18","2013-04-27"
"63","FR2013-280",10172.9145921365,"2013-04-18","2013-04-28"
"64","Tisdale2013-022",12946.2251588301,"2013-04-30","2013-05-09"
"65","Tisdale2013-063",9816.91763508303,"2013-04-30","2013-05-05"
"66","Tisdale2013-067",13488.5830462161,"2013-04-30","2013-05-09"
"67","Tisdale2013-175",13681.7017725636,"2013-05-02","2013-05-11"
"68","Tisdale2013-179",11110.3813709746,"2013-05-02","2013-05-12"
"69","Tisdale2013-180",10257.4368160673,"2013-05-02","2013-05-12"
"70","Tisdale2013-182",11840.4174955937,"2013-05-02","2013-05-09"
"71","WR2013-034",18035.9443133141,"2013-02-07","2013-03-28"
"72","WR2013-050",18816.9167852128,"2013-02-07","2013-03-26"
"73","WR2013-066",18070.2630702242,"2013-02-07","2013-03-23"
"74","WR2013-093",16634.6232772339,"2013-02-07","2013-03-31"
"75","WR2013-147",16252.4747511747,"2013-02-07","2013-03-26"
"76","WR2013-148",18283.3042286222,"2013-02-07","2013-03-30"
