"","FishID","SD","rel","end"
"1","LFC4297",33885.6856908602,"2010-12-17","2010-12-31"
"2","LFC4307",25225.007766077,"2010-12-17","2010-12-28"
"3","LFC4310",33946.0436580606,"2010-12-17","2010-12-25"
"4","LFC4312",37400.4616099295,"2010-12-17","2010-12-24"
"5","LFC4315",19761.4610089438,"2010-12-17","2011-01-04"
"6","LFC4316",31226.5457170218,"2010-12-17","2011-01-15"
"7","LFC4317",39325.7406245966,"2010-12-17","2010-12-26"
"8","LFC4318",31296.0226908118,"2010-12-17","2010-12-28"
"9","LFC4323",30854.7040180181,"2010-12-17","2010-12-24"
"10","LFC4325",28613.4828998399,"2010-12-17","2010-12-27"
"11","LFC4331",34259.109936632,"2010-12-17","2010-12-25"
"12","LFC4337",27736.2101813756,"2010-12-17","2010-12-30"
"13","LFC4338",31641.6701588556,"2010-12-17","2010-12-27"
"14","LFC4341",35027.1259406715,"2010-12-17","2010-12-24"
"15","LFC4345",30252.663425517,"2010-12-17","2011-01-07"
"16","LFC4346",25746.394899107,"2010-12-17","2011-01-10"
"17","LFC4347",27977.0625270178,"2010-12-17","2011-01-15"
"18","LFC4348",42289.8283040723,"2010-12-17","2010-12-25"
"19","LFC4350",13285.6767998702,"2010-12-17","2011-01-02"
"20","LFC4352",46327.6685646348,"2010-12-17","2010-12-23"
"21","LFC4355",33590.7263603547,"2010-12-17","2010-12-23"
"22","LFC4356",39532.65610924,"2010-12-17","2010-12-25"
"23","LFC4358",28524.6638795338,"2010-12-17","2011-01-17"
"24","LFC4362",17271.6038492393,"2010-12-17","2010-12-29"
"25","LFC4364",32743.0824032103,"2010-12-17","2010-12-25"
"26","LFC4368",16655.6072352521,"2010-12-17","2010-12-28"
"27","LFC4370",6631.79805216209,"2010-12-17","2011-01-15"
"28","LFC4372",21977.6719639343,"2010-12-17","2010-12-29"
"29","LFC4373",29788.7342792173,"2010-12-17","2010-12-28"
"30","LFC4375",43038.1812671684,"2010-12-17","2010-12-24"
"31","LFC4376",35676.3968692246,"2010-12-17","2010-12-24"
"32","LFC4378",36376.0378725614,"2010-12-17","2010-12-28"
"33","LFC4379",35603.4849126056,"2010-12-17","2010-12-26"
