"","FishID","SD","rel","end"
"1","LFC1495",18055.4817764836,"2008-12-13","2009-01-02"
"2","LFC1497",12381.1520413933,"2008-12-13","2009-02-24"
"3","LFC1498",13139.5980848175,"2008-12-13","2009-01-04"
"4","LFC1500",13526.1516568534,"2008-12-13","2009-01-15"
"5","LFC1502",11407.2330839594,"2008-12-13","2009-01-01"
"6","LFC1506",17641.0991303464,"2008-12-13","2009-01-08"
"7","LFC1508",19249.6505025469,"2008-12-13","2009-01-14"
"8","LFC1511",13899.4258978664,"2008-12-13","2009-01-18"
"9","LFC1520",12831.9820613861,"2008-12-13","2008-12-30"
"10","LFC1524",12777.4582990499,"2008-12-13","2009-02-26"
"11","LFC1531",11452.2636269111,"2008-12-13","2009-01-08"
"12","LFC1539",11984.4019426127,"2008-12-13","2008-12-29"
"13","LFC1545",14486.5600036543,"2008-12-13","2009-01-18"
"14","LFC1550",15769.5079440858,"2008-12-13","2008-12-31"
"15","LFC1552",12500.0139219343,"2008-12-13","2009-01-08"
"16","LFC1556",13296.1589256905,"2008-12-13","2008-12-27"
"17","LFC1559",15975.0159792982,"2008-12-13","2009-01-11"
"18","LFC1563",12053.3486283657,"2008-12-13","2009-02-01"
"19","LFC1566",11675.9428406841,"2008-12-13","2009-01-02"
"20","LFC1567",18201.5022815096,"2008-12-13","2009-01-07"
"21","LFC1568",13318.3741836269,"2008-12-13","2009-01-04"
"22","LFC1569",13737.7748389324,"2008-12-13","2009-02-10"
"23","LFC1570",15429.5219160707,"2008-12-13","2009-01-02"
"24","LFC1571",15388.1590484637,"2008-12-13","2009-01-01"
"25","LFC1573",15994.9598888675,"2008-12-13","2009-01-03"
"26","LFC1574",16111.5957239414,"2008-12-13","2009-01-08"
"27","LFC1582",11912.8160683328,"2008-12-13","2008-12-30"
"28","LFC1585",9408.62701549151,"2008-12-13","2009-01-10"
"29","LFC1588",10884.3253862046,"2008-12-13","2009-02-21"
"30","LFC1594",9920.18107293979,"2008-12-13","2009-01-17"
"31","LFC1606",15514.6908274523,"2008-12-13","2009-01-07"
"32","LFC1607",15838.2812330739,"2008-12-13","2009-01-11"
"33","LFC1608",9471.39643136026,"2008-12-13","2009-01-17"
"34","LFC1619",12077.0804055122,"2008-12-13","2009-01-05"
"35","LFC1620",9507.38175849883,"2008-12-13","2009-02-14"
"36","LFC1622",12777.02425413,"2008-12-13","2009-01-01"
"37","LFC1623",15455.3199824719,"2008-12-13","2008-12-25"
"38","LFC1635",8486.7457840687,"2009-01-11","2009-02-26"
"39","LFC1637",11978.3052298779,"2009-01-11","2009-01-30"
"40","LFC1644",13298.9962613323,"2009-01-11","2009-02-26"
"41","LFC1651",13612.3305541708,"2009-01-11","2009-02-19"
"42","LFC1660",11642.679221075,"2009-01-11","2009-03-05"
"43","LFC1662",11392.8835500101,"2009-01-11","2009-01-29"
"44","LFC1663",11537.0544308182,"2009-01-11","2009-02-04"
"45","LFC1667",10877.6348103422,"2009-01-11","2009-01-26"
"46","LFC1669",13677.5062014573,"2009-01-11","2009-01-24"
"47","LFC1670",10104.2564631739,"2009-01-11","2009-01-23"
"48","LFC1696",17914.5570440611,"2009-01-11","2009-02-19"
"49","LFC1702",19821.8993582716,"2009-01-11","2009-02-07"
"50","LFC1719",15196.9588406872,"2009-01-11","2009-01-31"
"51","LFC1725",22011.8769570728,"2009-01-11","2009-02-05"
"52","LFC1729",26527.3524185797,"2009-01-11","2009-03-18"
"53","LFC1736",10137.4103581374,"2009-01-11","2009-03-04"
"54","LFC1738",13886.0636687665,"2009-01-11","2009-01-31"
"55","LFC1743",9775.02502037011,"2009-01-11","2009-02-23"
"56","LFC1745",12901.3476676578,"2009-01-11","2009-01-28"
"57","LFC1766",16142.1831307365,"2009-01-11","2009-02-07"
"58","LFC1768",12344.2993188375,"2009-01-11","2009-01-29"
