"","date","sac","inund_days"
"224",1984-09-11,17800,0
"225",1984-09-12,18300,0
"226",1984-09-13,18800,0
"227",1984-09-14,18800,0
"228",1984-09-15,18800,0
"229",1984-09-16,18800,0
"230",1984-09-17,18100,0
"231",1984-09-18,18700,0
"232",1984-09-19,19400,0
"233",1984-09-20,19800,0
"234",1984-09-21,19800,0
"235",1984-09-22,18800,0
"236",1984-09-23,18100,0
"237",1984-09-24,17300,0
"238",1984-09-25,15700,0
"239",1984-09-26,14700,0
"240",1984-09-27,14600,0
"241",1984-09-28,14300,0
"242",1984-09-29,14000,0
"243",1984-09-30,14500,0
"244",1984-10-01,15800,0
"245",1984-10-02,15700,0
"246",1984-10-03,15200,0
"247",1984-10-04,14500,0
"248",1984-10-05,14000,0
"249",1984-10-06,13800,0
"250",1984-10-07,14300,0
"251",1984-10-08,14100,0
"252",1984-10-09,14400,0
"253",1984-10-10,14000,0
"254",1984-10-11,14100,0
"255",1984-10-12,13100,0
"256",1984-10-13,13300,0
"257",1984-10-14,13800,0
"258",1984-10-15,13600,0
"259",1984-10-16,12500,0
"260",1984-10-17,13300,0
"261",1984-10-18,12600,0
"262",1984-10-19,12500,0
"263",1984-10-20,12600,0
"264",1984-10-21,12400,0
"265",1984-10-22,12400,0
"266",1984-10-23,12400,0
"267",1984-10-24,11900,0
"268",1984-10-25,11500,0
"269",1984-10-26,11100,0
"270",1984-10-27,11800,0
"271",1984-10-28,11900,0
"272",1984-10-29,12200,0
"273",1984-10-30,12600,0
"274",1984-10-31,12900,0
"275",1984-11-01,13200,0
"276",1984-11-02,12800,0
"277",1984-11-03,14000,0
"278",1984-11-04,13900,0
"279",1984-11-05,14300,0
"280",1984-11-06,14700,0
"281",1984-11-07,14600,0
"282",1984-11-08,14800,0
"283",1984-11-09,15800,0
"284",1984-11-10,16100,0
"285",1984-11-11,17000,0
"286",1984-11-12,17600,0
"287",1984-11-13,22500,0
"288",1984-11-14,29500,0
"289",1984-11-15,34000,0
"290",1984-11-16,34800,0
"291",1984-11-17,33700,0
"292",1984-11-18,33900,0
"293",1984-11-19,34500,0
"294",1984-11-20,33700,0
"295",1984-11-21,32400,0
"296",1984-11-22,32000,0
"297",1984-11-23,32200,0
"298",1984-11-24,31300,0
"299",1984-11-25,33400,0
"300",1984-11-26,37200,0
"301",1984-11-27,36900,0
"302",1984-11-28,37800,0
"303",1984-11-29,38600,0
"304",1984-11-30,41200,0
"305",1984-12-01,40500,0
"306",1984-12-02,38300,0
"307",1984-12-03,36900,0
"308",1984-12-04,36400,0
"309",1984-12-05,38100,0
"310",1984-12-06,39100,0
"311",1984-12-07,39000,0
"312",1984-12-08,38200,0
"313",1984-12-09,36500,0
"314",1984-12-10,35100,0
"315",1984-12-11,34900,0
"316",1984-12-12,36300,0
"317",1984-12-13,38400,0
"318",1984-12-14,38400,0
"319",1984-12-15,37200,0
"320",1984-12-16,36700,0
"321",1984-12-17,35800,0
"322",1984-12-18,34700,0
"323",1984-12-19,33200,0
"324",1984-12-20,32100,0
"325",1984-12-21,31100,0
"326",1984-12-22,29400,0
"327",1984-12-23,27800,0
"328",1984-12-24,26700,0
"329",1984-12-25,25000,0
"330",1984-12-26,23900,0
"331",1984-12-27,23300,0
"332",1984-12-28,22700,0
"333",1984-12-29,21900,0
"334",1984-12-30,21100,0
"335",1984-12-31,20600,0
"336",1985-01-01,20500,0
"337",1985-01-02,20100,0
"338",1985-01-03,19900,0
"339",1985-01-04,19400,0
"340",1985-01-05,18500,0
"341",1985-01-06,17300,0
"342",1985-01-07,17100,0
"343",1985-01-08,17400,0
"344",1985-01-09,17700,0
"345",1985-01-10,18200,0
"346",1985-01-11,18300,0
"347",1985-01-12,18100,0
"348",1985-01-13,17700,0
"349",1985-01-14,17700,0
"350",1985-01-15,17400,0
"351",1985-01-16,17300,0
"352",1985-01-17,16800,0
"353",1985-01-18,16300,0
"354",1985-01-19,16400,0
"355",1985-01-20,16000,0
"356",1985-01-21,15700,0
"357",1985-01-22,15500,0
"358",1985-01-23,15100,0
"359",1985-01-24,14900,0
"360",1985-01-25,14800,0
"361",1985-01-26,14500,0
"362",1985-01-27,14600,0
"363",1985-01-28,14500,0
"364",1985-01-29,14400,0
"365",1985-01-30,14300,0
"366",1985-01-31,14100,0
"367",1985-02-01,14300,0
"368",1985-02-02,14300,0
"369",1985-02-03,14600,0
"370",1985-02-04,14700,0
"371",1985-02-05,14500,0
"372",1985-02-06,14900,0
"373",1985-02-07,14500,0
"374",1985-02-08,16900,0
"375",1985-02-09,28300,0
"376",1985-02-10,33500,0
"377",1985-02-11,30200,0
"378",1985-02-12,25400,0
"379",1985-02-13,22200,0
"380",1985-02-14,19500,0
"381",1985-02-15,17500,0
"382",1985-02-16,15900,0
"383",1985-02-17,15700,0
"384",1985-02-18,15800,0
"385",1985-02-19,15600,0
"386",1985-02-20,16000,0
"387",1985-02-21,16500,0
"388",1985-02-22,17300,0
"389",1985-02-23,17600,0
"390",1985-02-24,17500,0
"391",1985-02-25,17200,0
"392",1985-02-26,17300,0
"393",1985-02-27,17200,0
"394",1985-02-28,16700,0
"395",1985-03-01,15100,0
"396",1985-03-02,14900,0
"397",1985-03-03,13600,0
"398",1985-03-04,13000,0
"399",1985-03-05,13300,0
"400",1985-03-06,13200,0
"401",1985-03-07,14400,0
"402",1985-03-08,16300,0
"403",1985-03-09,16800,0
"404",1985-03-10,17200,0
"405",1985-03-11,17400,0
"406",1985-03-12,18800,0
"407",1985-03-13,18100,0
"408",1985-03-14,16600,0
"409",1985-03-15,15100,0
"410",1985-03-16,13900,0
"411",1985-03-17,13000,0
"412",1985-03-18,12500,0
"413",1985-03-19,12600,0
"414",1985-03-20,12500,0
"415",1985-03-21,12100,0
"416",1985-03-22,11600,0
"417",1985-03-23,11300,0
"418",1985-03-24,11300,0
"419",1985-03-25,11500,0
"420",1985-03-26,10800,0
"421",1985-03-27,12600,0
"422",1985-03-28,14900,0
"423",1985-03-29,16300,0
"424",1985-03-30,16600,0
"425",1985-03-31,16300,0
"426",1985-04-01,15700,0
"427",1985-04-02,14800,0
"428",1985-04-03,14200,0
"429",1985-04-04,14200,0
"430",1985-04-05,13900,0
"431",1985-04-06,13300,0
"432",1985-04-07,13300,0
"433",1985-04-08,12900,0
"434",1985-04-09,12700,0
"435",1985-04-10,12800,0
"436",1985-04-11,12400,0
"437",1985-04-12,11700,0
"438",1985-04-13,11600,0
"439",1985-04-14,11300,0
"440",1985-04-15,11000,0
"441",1985-04-16,12700,0
"442",1985-04-17,13900,0
"443",1985-04-18,13300,0
"444",1985-04-19,13800,0
"445",1985-04-20,13600,0
"446",1985-04-21,13100,0
"447",1985-04-22,13300,0
"448",1985-04-23,13200,0
"449",1985-04-24,12100,0
"450",1985-04-25,11100,0
"451",1985-04-26,10500,0
"452",1985-04-27,9800,0
"453",1985-04-28,9170,0
"454",1985-04-29,9610,0
"455",1985-04-30,9880,0
"456",1985-05-01,10200,0
"457",1985-05-02,10700,0
"458",1985-05-03,11600,0
"459",1985-05-04,12200,0
"460",1985-05-05,12000,0
"461",1985-05-06,12000,0
"462",1985-05-07,12300,0
"463",1985-05-08,12600,0
"464",1985-05-09,13100,0
"465",1985-05-10,13500,0
"466",1985-05-11,14000,0
"467",1985-05-12,14100,0
"468",1985-05-13,14200,0
"469",1985-05-14,13800,0
"470",1985-05-15,13300,0
"471",1985-05-16,12900,0
"472",1985-05-17,15100,0
"473",1985-05-18,15000,0
"474",1985-05-19,14600,0
"475",1985-05-20,13200,0
"476",1985-05-21,13200,0
"477",1985-05-22,12900,0
"478",1985-05-23,12800,0
"479",1985-05-24,12900,0
"480",1985-05-25,13800,0
"481",1985-05-26,14600,0
"482",1985-05-27,14700,0
"483",1985-05-28,14900,0
"484",1985-05-29,15200,0
"485",1985-05-30,15400,0
"486",1985-05-31,15600,0
"487",1985-06-01,16200,0
"488",1985-06-02,16200,0
"489",1985-06-03,15600,0
"490",1985-06-04,15700,0
"491",1985-06-05,15100,0
"492",1985-06-06,14900,0
"493",1985-06-07,13500,0
"494",1985-06-08,12600,0
"495",1985-06-09,11700,0
"496",1985-06-10,12100,0
"497",1985-06-11,12300,0
"498",1985-06-12,12400,0
"499",1985-06-13,13400,0
"500",1985-06-14,12600,0
"501",1985-06-15,12000,0
"502",1985-06-16,11400,0
"503",1985-06-17,11600,0
"504",1985-06-18,12700,0
"505",1985-06-19,12500,0
"506",1985-06-20,13100,0
"507",1985-06-21,12700,0
"508",1985-06-22,12900,0
"509",1985-06-23,13300,0
"510",1985-06-24,13400,0
"511",1985-06-25,14200,0
"512",1985-06-26,13500,0
"513",1985-06-27,12700,0
"514",1985-06-28,12100,0
"515",1985-06-29,12500,0
"516",1985-06-30,14400,0
"517",1985-07-01,15100,0
"518",1985-07-02,15500,0
"519",1985-07-03,15900,0
"520",1985-07-04,16600,0
"521",1985-07-05,16600,0
"522",1985-07-06,15800,0
"523",1985-07-07,15700,0
"524",1985-07-08,15700,0
"525",1985-07-09,15300,0
"526",1985-07-10,15000,0
"527",1985-07-11,14600,0
"528",1985-07-12,14500,0
"529",1985-07-13,15100,0
"530",1985-07-14,15500,0
"531",1985-07-15,16300,0
"532",1985-07-16,16500,0
"533",1985-07-17,17000,0
"534",1985-07-18,17400,0
"535",1985-07-19,17500,0
"536",1985-07-20,17600,0
"537",1985-07-21,17100,0
"538",1985-07-22,17000,0
"539",1985-07-23,17100,0
"540",1985-07-24,17200,0
"541",1985-07-25,16200,0
"542",1985-07-26,16200,0
"543",1985-07-27,15900,0
"544",1985-07-28,15200,0
"545",1985-07-29,16000,0
"546",1985-07-30,15000,0
"547",1985-07-31,15000,0
"548",1985-08-01,15600,0
"549",1985-08-02,15800,0
"550",1985-08-03,15300,0
"551",1985-08-04,14100,0
"552",1985-08-05,13700,0
"553",1985-08-06,13400,0
"554",1985-08-07,12700,0
"555",1985-08-08,12800,0
"556",1985-08-09,12600,0
"557",1985-08-10,13600,0
"558",1985-08-11,14600,0
"559",1985-08-12,14300,0
"560",1985-08-13,14600,0
"561",1985-08-14,14400,0
"562",1985-08-15,13700,0
"563",1985-08-16,13100,0
"564",1985-08-17,13400,0
"565",1985-08-18,13500,0
"566",1985-08-19,13600,0
"567",1985-08-20,13500,0
"568",1985-08-21,12900,0
"569",1985-08-22,12600,0
"570",1985-08-23,12700,0
"571",1985-08-24,12700,0
"572",1985-08-25,13200,0
"573",1985-08-26,13100,0
"574",1985-08-27,12500,0
"575",1985-08-28,12300,0
"576",1985-08-29,12100,0
"577",1985-08-30,12100,0
"578",1985-08-31,12400,0
"579",1985-09-01,12200,0
"580",1985-09-02,12700,0
"581",1985-09-03,13000,0
"582",1985-09-04,12500,0
"583",1985-09-05,12900,0
"584",1985-09-06,12100,0
"585",1985-09-07,12300,0
"586",1985-09-08,12600,0
"587",1985-09-09,13600,0
"588",1985-09-10,14600,0
"589",1985-09-11,15300,0
"590",1985-09-12,16000,0
"591",1985-09-13,15000,0
"592",1985-09-14,14100,0
"593",1985-09-15,13500,0
"594",1985-09-16,12600,0
"595",1985-09-17,11900,0
"596",1985-09-18,12300,0
"597",1985-09-19,11900,0
"598",1985-09-20,11100,0
"599",1985-09-21,10700,0
"600",1985-09-22,10800,0
"601",1985-09-23,10600,0
"602",1985-09-24,10500,0
"603",1985-09-25,9990,0
"604",1985-09-26,9380,0
"605",1985-09-27,9790,0
"606",1985-09-28,10500,0
"607",1985-09-29,10400,0
"608",1985-09-30,10900,0
"609",1985-10-01,10800,0
"610",1985-10-02,10600,0
"611",1985-10-03,10500,0
"612",1985-10-04,10200,0
"613",1985-10-05,10100,0
"614",1985-10-06,9590,0
"615",1985-10-07,10600,0
"616",1985-10-08,10200,0
"617",1985-10-09,10300,0
"618",1985-10-10,9190,0
"619",1985-10-11,9150,0
"620",1985-10-12,9090,0
"621",1985-10-13,8990,0
"622",1985-10-14,8830,0
"623",1985-10-15,8690,0
"624",1985-10-16,8500,0
"625",1985-10-17,8460,0
"626",1985-10-18,8500,0
"627",1985-10-19,9730,0
"628",1985-10-20,9910,0
"629",1985-10-21,11400,0
"630",1985-10-22,11200,0
"631",1985-10-23,10500,0
"632",1985-10-24,10400,0
"633",1985-10-25,10500,0
"634",1985-10-26,10200,0
"635",1985-10-27,9500,0
"636",1985-10-28,8970,0
"637",1985-10-29,8770,0
"638",1985-10-30,9020,0
"639",1985-10-31,8640,0
"640",1985-11-01,8590,0
"641",1985-11-02,8310,0
"642",1985-11-03,8260,0
"643",1985-11-04,8390,0
"644",1985-11-05,9050,0
"645",1985-11-06,8960,0
"646",1985-11-07,8740,0
"647",1985-11-08,8670,0
"648",1985-11-09,8830,0
"649",1985-11-10,9000,0
"650",1985-11-11,9850,0
"651",1985-11-12,9530,0
"652",1985-11-13,9490,0
"653",1985-11-14,9050,0
"654",1985-11-15,8960,0
"655",1985-11-16,9160,0
"656",1985-11-17,9540,0
"657",1985-11-18,10600,0
"658",1985-11-19,10400,0
"659",1985-11-20,10000,0
"660",1985-11-21,9790,0
"661",1985-11-22,9840,0
"662",1985-11-23,9820,0
"663",1985-11-24,11200,0
"664",1985-11-25,13100,0
"665",1985-11-26,13700,0
"666",1985-11-27,14500,0
"667",1985-11-28,14000,0
"668",1985-11-29,14500,0
"669",1985-11-30,18700,0
"670",1985-12-01,25000,0
"671",1985-12-02,25100,0
"672",1985-12-03,24200,0
"673",1985-12-04,28500,0
"674",1985-12-05,30400,0
"675",1985-12-06,27200,0
"676",1985-12-07,23900,0
"677",1985-12-08,22100,0
"678",1985-12-09,19800,0
"679",1985-12-10,18400,0
"680",1985-12-11,16900,0
"681",1985-12-12,15400,0
"682",1985-12-13,14100,0
"683",1985-12-14,13400,0
"684",1985-12-15,13000,0
"685",1985-12-16,12700,0
"686",1985-12-17,12400,0
"687",1985-12-18,12200,0
"688",1985-12-19,11700,0
"689",1985-12-20,11200,0
"690",1985-12-21,11100,0
"691",1985-12-22,10900,0
"692",1985-12-23,10900,0
"693",1985-12-24,10800,0
"694",1985-12-25,10700,0
"695",1985-12-26,10600,0
"696",1985-12-27,10500,0
"697",1985-12-28,10700,0
"698",1985-12-29,10700,0
"699",1985-12-30,12100,0
"700",1985-12-31,12700,0
"701",1986-01-01,12600,0
"702",1986-01-02,12500,0
"703",1986-01-03,12600,0
"704",1986-01-04,12800,0
"705",1986-01-05,14300,0
"706",1986-01-06,16100,0
"707",1986-01-07,18000,0
"708",1986-01-08,18700,0
"709",1986-01-09,18100,0
"710",1986-01-10,16200,0
"711",1986-01-11,15300,0
"712",1986-01-12,14400,0
"713",1986-01-13,13800,0
"714",1986-01-14,13700,0
"715",1986-01-15,14400,0
"716",1986-01-16,14900,0
"717",1986-01-17,17100,0
"718",1986-01-18,26600,0
"719",1986-01-19,34800,0
"720",1986-01-20,33900,0
"721",1986-01-21,30200,0
"722",1986-01-22,29100,0
"723",1986-01-23,27500,0
"724",1986-01-24,25600,0
"725",1986-01-25,23500,0
"726",1986-01-26,21200,0
"727",1986-01-27,19500,0
"728",1986-01-28,17900,0
"729",1986-01-29,17600,0
"730",1986-01-30,22100,0
"731",1986-01-31,33900,0
"732",1986-02-01,46500,0
"733",1986-02-02,50600,0
"734",1986-02-03,54200,0
"735",1986-02-04,58300,0
"736",1986-02-05,62200,0
"737",1986-02-06,63300,0
"738",1986-02-07,57700,0
"739",1986-02-08,49600,0
"740",1986-02-09,42000,0
"741",1986-02-10,36500,0
"742",1986-02-11,33400,0
"743",1986-02-12,30800,0
"744",1986-02-13,31700,0
"745",1986-02-14,45100,0
"746",1986-02-15,64100,1
"747",1986-02-16,81500,2
"748",1986-02-17,98100,3
"749",1986-02-18,108000,4
"750",1986-02-19,115000,5
"751",1986-02-20,113000,6
"752",1986-02-21,103000,7
"753",1986-02-22,91300,8
"754",1986-02-23,87400,9
"755",1986-02-24,83300,10
"756",1986-02-25,82100,11
"757",1986-02-26,80100,12
"758",1986-02-27,79600,13
"759",1986-02-28,80600,14
"760",1986-03-01,78500,15
"761",1986-03-02,77700,16
"762",1986-03-03,76700,17
"763",1986-03-04,75500,18
"764",1986-03-05,74700,19
"765",1986-03-06,72100,20
"766",1986-03-07,72000,21
"767",1986-03-08,80500,22
"768",1986-03-09,94900,23
"769",1986-03-10,96900,24
"770",1986-03-11,93200,25
"771",1986-03-12,91700,26
"772",1986-03-13,90900,27
"773",1986-03-14,89800,28
"774",1986-03-15,85700,29
"775",1986-03-16,85000,30
"776",1986-03-17,81500,31
"777",1986-03-18,79700,32
"778",1986-03-19,75800,33
"779",1986-03-20,73600,34
"780",1986-03-21,71900,35
"781",1986-03-22,70600,36
"782",1986-03-23,69000,37
"783",1986-03-24,67700,38
"784",1986-03-25,66200,39
"785",1986-03-26,63200,40
"786",1986-03-27,59600,41
"787",1986-03-28,57500,42
"788",1986-03-29,54200,43
"789",1986-03-30,50400,44
"790",1986-03-31,47800,45
"791",1986-04-01,45700,46
"792",1986-04-02,44500,47
"793",1986-04-03,42700,48
"794",1986-04-04,39800,49
"795",1986-04-05,36800,50
"796",1986-04-06,34900,0
"797",1986-04-07,33200,0
"798",1986-04-08,32100,0
"799",1986-04-09,31300,0
"800",1986-04-10,30700,0
"801",1986-04-11,29500,0
"802",1986-04-12,27900,0
"803",1986-04-13,27100,0
"804",1986-04-14,25300,0
"805",1986-04-15,24100,0
"806",1986-04-16,23500,0
"807",1986-04-17,22200,0
"808",1986-04-18,21400,0
"809",1986-04-19,21500,0
"810",1986-04-20,21100,0
"811",1986-04-21,20300,0
"812",1986-04-22,16400,0
"813",1986-04-23,17500,0
"814",1986-04-24,17300,0
"815",1986-04-25,16300,0
"816",1986-04-26,15100,0
"817",1986-04-27,15200,0
"818",1986-04-28,15000,0
"819",1986-04-29,14000,0
"820",1986-04-30,12400,0
"821",1986-05-01,12600,0
"822",1986-05-02,11700,0
"823",1986-05-03,10900,0
"824",1986-05-04,11400,0
"825",1986-05-05,11400,0
"826",1986-05-06,12700,0
"827",1986-05-07,13200,0
"828",1986-05-08,13500,0
"829",1986-05-09,13000,0
"830",1986-05-10,12300,0
"831",1986-05-11,11900,0
"832",1986-05-12,11100,0
"833",1986-05-13,10600,0
"834",1986-05-14,10600,0
"835",1986-05-15,11800,0
"836",1986-05-16,14700,0
"837",1986-05-17,15800,0
"838",1986-05-18,14400,0
"839",1986-05-19,12700,0
"840",1986-05-20,12300,0
"841",1986-05-21,12600,0
"842",1986-05-22,12800,0
"843",1986-05-23,13000,0
"844",1986-05-24,13300,0
"845",1986-05-25,13200,0
"846",1986-05-26,13200,0
"847",1986-05-27,13400,0
"848",1986-05-28,14000,0
"849",1986-05-29,14100,0
"850",1986-05-30,13700,0
"851",1986-05-31,13700,0
"852",1986-06-01,13600,0
"853",1986-06-02,13900,0
"854",1986-06-03,14000,0
"855",1986-06-04,14000,0
"856",1986-06-05,14000,0
"857",1986-06-06,14000,0
"858",1986-06-07,13600,0
"859",1986-06-08,13100,0
"860",1986-06-09,12800,0
"861",1986-06-10,11900,0
"862",1986-06-11,11600,0
"863",1986-06-12,11200,0
"864",1986-06-13,10100,0
"865",1986-06-14,10000,0
"866",1986-06-15,10100,0
"867",1986-06-16,10300,0
"868",1986-06-17,10100,0
"869",1986-06-18,10500,0
"870",1986-06-19,9800,0
"871",1986-06-20,9600,0
"872",1986-06-21,9400,0
"873",1986-06-22,9900,0
"874",1986-06-23,10000,0
"875",1986-06-24,11100,0
"876",1986-06-25,11200,0
"877",1986-06-26,11500,0
"878",1986-06-27,11800,0
"879",1986-06-28,12600,0
"880",1986-06-29,13800,0
"881",1986-06-30,15100,0
"882",1986-07-01,16100,0
"883",1986-07-02,16400,0
"884",1986-07-03,16300,0
"885",1986-07-04,16500,0
"886",1986-07-05,15900,0
"887",1986-07-06,16000,0
"888",1986-07-07,16400,0
"889",1986-07-08,16200,0
"890",1986-07-09,16100,0
"891",1986-07-10,15900,0
"892",1986-07-11,15800,0
"893",1986-07-12,15900,0
"894",1986-07-13,16100,0
"895",1986-07-14,16700,0
"896",1986-07-15,16200,0
"897",1986-07-16,17200,0
"898",1986-07-17,16800,0
"899",1986-07-18,17200,0
"900",1986-07-19,17200,0
"901",1986-07-20,17200,0
"902",1986-07-21,17500,0
"903",1986-07-22,17900,0
"904",1986-07-23,18200,0
"905",1986-07-24,17300,0
"906",1986-07-25,17400,0
"907",1986-07-26,17700,0
"908",1986-07-27,17800,0
"909",1986-07-28,18100,0
"910",1986-07-29,18400,0
"911",1986-07-30,17700,0
"912",1986-07-31,17200,0
"913",1986-08-01,16900,0
"914",1986-08-02,16700,0
"915",1986-08-03,16500,0
"916",1986-08-04,16500,0
"917",1986-08-05,16200,0
"918",1986-08-06,16300,0
"919",1986-08-07,16300,0
"920",1986-08-08,16100,0
"921",1986-08-09,15800,0
"922",1986-08-10,15800,0
"923",1986-08-11,16100,0
"924",1986-08-12,15900,0
"925",1986-08-13,15500,0
"926",1986-08-14,15200,0
"927",1986-08-15,14600,0
"928",1986-08-16,14100,0
"929",1986-08-17,14000,0
"930",1986-08-18,13900,0
"931",1986-08-19,13700,0
