"","date","mean"
"2854",2014-12-08,5.0625
"2855",2014-12-09,4.93791666666667
"2856",2014-12-10,4.89333333333333
"2857",2014-12-11,5.66625
"2858",2014-12-12,5.35125
"2859",2014-12-13,4.8575
"2860",2014-12-14,4.66166666666667
"2861",2014-12-15,4.9075
"2862",2014-12-16,5.36666666666667
"2863",2014-12-17,5.4075
"2864",2014-12-18,5.38173913043478
"2865",2014-12-19,5.53666666666667
"2866",2014-12-20,5.54083333333333
"2867",2014-12-21,5.5775
"2868",2014-12-22,5.34958333333333
"2869",2014-12-23,5.31666666666667
"2870",2014-12-24,5.5475
"2871",2014-12-25,5.10791666666667
"2872",2014-12-26,4.77541666666667
"2873",2014-12-27,4.58666666666667
"2874",2014-12-28,4.45083333333333
"2875",2014-12-29,4.46375
"2876",2014-12-30,4.17791666666667
"2877",2014-12-31,4.09083333333333
"2878",2015-01-01,4.59333333333333
"2879",2015-01-02,4.76291666666667
"2880",2015-01-03,4.75625
"2881",2015-01-04,4.59583333333333
"2882",2015-01-05,4.46541666666667
"2883",2015-01-06,4.46458333333333
"2884",2015-01-07,4.52375
"2885",2015-01-08,4.5675
"2886",2015-01-09,4.58791666666667
"2887",2015-01-10,4.54666666666667
"2888",2015-01-11,4.43916666666667
"2889",2015-01-12,4.18708333333333
"2890",2015-01-13,4.07833333333333
"2891",2015-01-14,4.11041666666667
"2892",2015-01-15,4.17125
"2893",2015-01-16,4.36041666666667
"2894",2015-01-17,4.43291666666667
"2895",2015-01-18,4.46791666666667
"2896",2015-01-19,4.45583333333333
"2897",2015-01-20,4.58083333333333
"2898",2015-01-21,4.52166666666667
"2899",2015-01-22,4.22347826086957
"2900",2015-01-23,4.15416666666667
"2901",2015-01-24,4.10708333333333
"2902",2015-01-25,4.12
"2903",2015-01-26,4.25166666666667
"2904",2015-01-27,4.31583333333333
"2905",2015-01-28,4.24708333333333
"2906",2015-01-29,4.38625
"2907",2015-01-30,4.6075
"2908",2015-01-31,4.64125
"2909",2015-02-01,4.54166666666667
"2910",2015-02-02,4.4175
"2911",2015-02-03,4.39875
"2912",2015-02-04,4.50291666666667
"2913",2015-02-05,4.735
"2914",2015-02-06,5.17
"2915",2015-02-07,5.15125
"2916",2015-02-08,4.94958333333333
"2917",2015-02-09,5.11958333333333
"2918",2015-02-10,4.4625
"2919",2015-02-11,4.34833333333333
"2920",2015-02-12,4.32208333333333
"2921",2015-02-13,4.48875
"2922",2015-02-14,4.60916666666667
"2923",2015-02-15,4.70333333333333
"2924",2015-02-16,4.68809523809524
"2925",2015-02-17,4.89666666666667
"2926",2015-02-18,4.72125
"2927",2015-02-19,4.60333333333333
"2928",2015-02-20,4.55708333333333
"2929",2015-02-21,4.60666666666667
"2930",2015-02-22,4.64708333333333
"2931",2015-02-23,4.38708333333333
"2932",2015-02-24,4.30208333333333
"2933",2015-02-25,4.27
"2934",2015-02-26,4.32791666666667
"2935",2015-02-27,4.63875
"2936",2015-02-28,4.61375
"2937",2015-03-01,4.45458333333333
"2938",2015-03-02,4.61458333333333
"2939",2015-03-03,4.45208333333333
"2940",2015-03-04,4.35708333333333
"2941",2015-03-05,4.10458333333333
"2942",2015-03-06,4.08583333333333
"2943",2015-03-07,4.21666666666667
"2944",2015-03-08,4.3595652173913
"2945",2015-03-09,4.3625
"2946",2015-03-10,4.38541666666667
"2947",2015-03-11,4.39166666666667
"2948",2015-03-12,4.12625
"2949",2015-03-13,4.17086956521739
"2950",2015-03-14,4.2675
"2951",2015-03-15,4.5225
"2952",2015-03-16,4.45708333333333
"2953",2015-03-17,4.56125
"2954",2015-03-18,4.41833333333333
"2955",2015-03-19,4.42125
"2956",2015-03-20,4.5795652173913
"2957",2015-03-21,4.5
"2958",2015-03-22,4.52708333333333
"2959",2015-03-23,4.45125
"2960",2015-03-24,4.36782608695652
"2961",2015-03-25,4.21791666666667
"2962",2015-03-26,4.15
"2963",2015-03-27,4.30208333333333
"2964",2015-03-28,4.17958333333333
"2965",2015-03-29,4.25458333333333
"2966",2015-03-30,4.45833333333333
