"FishID","2013-03-06","2013-03-07","2013-03-08","2013-03-09","2013-03-10","2013-03-11","2013-03-12","2013-03-13","2013-03-14","2013-03-15","2013-03-16","2013-03-17","2013-03-18","2013-03-19","2013-03-20","2013-03-21","2013-03-22","2013-03-23","2013-03-24","2013-03-25","2013-03-26","2013-03-27","2013-03-28","2013-03-29","2013-03-30","2013-03-31","2013-04-01"
5854,8531.64,13377.62,1237.78333333333,1237.78333333333,1237.78333333333,1237.78333333333,1237.78333333333,1237.78333333333,9471.97,121909.94,25335.3175,25335.3175,25335.3175,25335.3175,21911.83,23656.96,23656.96,10667.1066666667,10667.1066666667,10667.1066666667,NA,NA,NA,NA,NA,NA,NA
5857,21909.26,240149.88,21911.83,27247.05,38483.86,65836.56,18507.43,18507.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5860,NA,8531.64,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,1364.90833333333,127617.87,100659.07,31820.62,43891.04,21945.52,18507.43,18507.43
5862,21909.26,240149.88,38063.13,13132.5575,13132.5575,13132.5575,13132.5575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5863,13910.17,24897.75,60954.97,60954.97,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,49158.88,20066.86,10667.1066666667,10667.1066666667,10667.1066666667,NA,NA,NA,NA,NA,NA,NA
5865,21909.26,240149.88,21911.83,27247.05,35781.96,18507.43,18507.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21909.26,240149.88,49158.88,20066.86,32001.32,NA,NA,NA,NA,NA,NA
5868,21909.26,16898.66,223251.21,21911.83,9082.35,9082.35,9082.35,25241.475,25241.475,65836.56,21945.52,58960.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5869,18740.71,20067.2,13545.5488888889,13545.5488888889,13545.5488888889,13545.5488888889,13545.5488888889,13545.5488888889,13545.5488888889,13545.5488888889,13545.5488888889,101341.27,21911.83,21229.62,15629.9866666667,15629.9866666667,15629.9866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5870,14963.1,18136.9,5707.93,55812.8025,55812.8025,55812.8025,55812.8025,48119.215,48119.215,37460.89,21945.52,21945.52,21945.52,37014.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
